"","email","url_1","clicks_1","url_2","clicks_2","url_3","clicks_3","url_4","clicks_4","url_5","clicks_5","url_6","clicks_6","url_7","url_chart","clicks_chart","url_question","clicks_question","url_events","clicks_events","plainTextPCT","clicks_7","url_8","clicks_8","url_9","clicks_9","url_10","clicks_10","url_11","clicks_11","url_12","clicks_12","url_13","clicks_13","url_14","clicks_14","url_15","clicks_15","url_16","clicks_16","url_17","clicks_17","url_18","clicks_18","url_19","clicks_19","url_20","clicks_20"
"21","NL 2023-02-16 Spark","https://rmi.org/insight/realizing-the-green-jobs-promise/","125","https://rmi.org/clean-energy-101-carbon-accounting/","94","https://rmi.org/gas-stoves-health-climate-asthma-risk/","92","https://rmi.org/narrowing-the-solar-equity-gap-through-solarize/","23","https://rmi.org/insight/transforming-indias-electricity-markets/","12","https://rmi.org/perspectives-from-an-rmi-summer-intern/","12",NA,"Chart - https://rmi.org/insight/realizing-the-green-jobs-promise/","41","Question - NA","0","Events - https://rmi.org/events/","23","0.038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","NL 2023-02-16 Spark","https://rmi.org/insight/realizing-the-green-jobs-promise/","140","https://rmi.org/clean-energy-101-carbon-accounting/","117","https://rmi.org/narrowing-the-solar-equity-gap-through-solarize/","78","https://rmi.org/gas-stoves-health-climate-asthma-risk/","23","https://rmi.org/insight/transforming-indias-electricity-markets/","15","https://rmi.org/perspectives-from-an-rmi-summer-intern/","12",NA,"Chart - https://rmi.org/insight/realizing-the-green-jobs-promise/","36","Question - NA","0","Events - https://rmi.org/events/","34","0.041",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","NL 2023-02-16 Spark","https://rmi.org/insight/realizing-the-green-jobs-promise/","280","https://rmi.org/clean-energy-101-carbon-accounting/","235","https://rmi.org/gas-stoves-health-climate-asthma-risk/","222","https://rmi.org/narrowing-the-solar-equity-gap-through-solarize/","47","https://rmi.org/insight/transforming-indias-electricity-markets/","20","https://rmi.org/perspectives-from-an-rmi-summer-intern/","20",NA,"Chart - https://rmi.org/insight/realizing-the-green-jobs-promise/","96","Question - NA","0","Events - https://rmi.org/events/","50","0.052",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","NL 2023-02-19 Upcoming Events","https://rmi.org/scaling-solutions/","8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","290","0.011",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","NL 2023-02-23 Spark","https://rmi.org/clean-energy-101-reducing-climate-pollution-from-the-plastics-industry/","177","https://rmi.org/wasted-wind-and-tenable-transmission-during-winter-storm-elliott/","100","https://rmi.org/dispatch-from-nigeria/","70",NA,NA,NA,NA,NA,NA,NA,"Chart - https://rmi.org/clean-energy-101-reducing-climate-pollution-from-the-plastics-industry/","112","Question - NA","0","Events - https://rmi.org/events/","32","0.036",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","NL 2023-02-23 Spark","https://rmi.org/clean-energy-101-reducing-climate-pollution-from-the-plastics-industry/","175","https://rmi.org/wasted-wind-and-tenable-transmission-during-winter-storm-elliott/","86","https://rmi.org/dispatch-from-nigeria/","53",NA,NA,NA,NA,NA,NA,NA,"Chart - https://rmi.org/clean-energy-101-reducing-climate-pollution-from-the-plastics-industry/","79","Question - NA","0","Events - https://rmi.org/events/","23","0.033",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","NL 2023-02-23 Spark","https://rmi.org/clean-energy-101-reducing-climate-pollution-from-the-plastics-industry/","364","https://rmi.org/wasted-wind-and-tenable-transmission-during-winter-storm-elliott/","160","https://rmi.org/dispatch-from-nigeria/","117",NA,NA,NA,NA,NA,NA,NA,"Chart - https://rmi.org/clean-energy-101-reducing-climate-pollution-from-the-plastics-industry/","154","Question - NA","0","Events - https://rmi.org/events/","49","0.038",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","NL 2023-02-26 Upcoming Events","https://rmi.org/scaling-solutions/","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Chart - NA","0","Question - NA","0","Events - https://rmi.org/events/","321","0.012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","NL 2023-03-02 Spark","https://rmi.org/navigating-financial-industry-blurred-lines-between-climate-commitments-and-greenwash/","201","https://rmi.org/hydrogen-credit-catalyst/","132","https://rmi.org/women-making-change/","49","https://rmi.org/press-release/indias-proposed-economic-dispatch-mechanism-aims-to-optimize-power-sector-resources/","7","https://rmi.org/wholesale-electricity-market-reforms-can-help-india-achieve-its-national-climate-targets/","6",NA,NA,NA,"Chart - https://rmi.org/hydrogen-credit-catalyst/","61","Question - NA","0","Events - https://rmi.org/events/","12","0.029",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","NL 2023-03-02 Spark","https://rmi.org/navigating-financial-industry-blurred-lines-between-climate-commitments-and-greenwash/","179","https://rmi.org/hydrogen-credit-catalyst/","154","https://rmi.org/women-making-change/","56","https://rmi.org/wholesale-electricity-market-reforms-can-help-india-achieve-its-national-climate-targets/","11","https://rmi.org/press-release/indias-proposed-economic-dispatch-mechanism-aims-to-optimize-power-sector-resources/","8",NA,NA,NA,"Chart - https://rmi.org/navigating-financial-industry-blurred-lines-between-climate-commitments-and-greenwash/","33","Question - NA","0","Events - https://rmi.org/events/","13","0.05",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
